municipio,codigo_ibge,idhm_2010,dist_km_geodesica_salvador,dist_km_rodoviaria_salvador,duracao_h_viagem,origem_endereco,origem_coords,destino_municipio_endereco,destino_municipio_coords
Eunápolis,2910727,17.0,394.5,670.4,11.24,Rua da Misericórdia,"-12.974331, -38.512191",Rua Arquimedes Martins,"-16.365182, -39.589861"
Fátima,2910750,339.0,266.3,348.8,5.19,Rua da Misericórdia,"-12.974331, -38.512191",Largo João Aribitu,"-10.59629, -38.218332"
Feira da Mata,2910776,210.0,638.6,848.1,12.92,Rua da Misericórdia,"-12.974331, -38.512191",Rua Galcino Pereira,"-14.212078, -44.282216"
Feira de Santana,2910800,5.0,93.8,117.3,1.65,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Getúlio Vargas,"-12.255338, -38.965109"
Filadélfia,2910859,317.0,304.3,351.2,4.85,Rua da Misericórdia,"-12.974331, -38.512191",Travessa Mangueira,"-10.742341, -40.130412"
Firmino Alves,2910909,258.0,270.7,486.8,7.92,Rua da Misericórdia,"-12.974331, -38.512191",Firmino Alves,"-14.987175, -39.92422"
Floresta Azul,2911006,347.0,243.3,471.7,7.67,Rua da Misericórdia,"-12.974331, -38.512191",Rua Elisia Matos,"-14.859285, -39.657391"
Formosa do Rio Preto,2911105,90.0,757.4,1011.7,13.38,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Antônio Carlos Magalhães,"-11.041027, -45.190463"
Gandu,2911204,62.0,136.1,286.5,4.56,Rua da Misericórdia,"-12.974331, -38.512191",Rua Manoel Libanio da Silva,"-13.745402, -39.489277"
Gavião,2911253,155.0,216.7,251.5,3.66,Rua da Misericórdia,"-12.974331, -38.512191",Rua Eunice Almeira Moura,"-11.471277, -39.783042"
Gentio do Ouro,2911303,339.0,466.8,593.3,9.32,Rua da Misericórdia,"-12.974331, -38.512191",Gentio do Ouro,"-11.430085, -42.50641"
Glória,2911402,181.0,404.8,487.3,7.45,Rua da Misericórdia,"-12.974331, -38.512191",Avenida José Hemetério de Carvalho,"-9.342656, -38.255423"
Gongogi,2911501,272.0,182.1,379.3,6.02,Rua da Misericórdia,"-12.974331, -38.512191",Rua 12 de Abril,"-14.324019, -39.466208"
Governador Mangabeira,2911600,46.0,70.9,129.2,1.96,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Martins,"-12.602029, -39.043021"
Guajeru,2911659,306.0,409.2,599.2,9.01,Rua da Misericórdia,"-12.974331, -38.512191",Guajeru,"-14.54648, -41.937728"
Guanambi,2911709,25.0,481.7,677.1,10.25,Rua da Misericórdia,"-12.974331, -38.512191",Guanambi,"-14.219286, -42.78165"
Guaratinga,2911808,344.0,424.1,725.9,12.1,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Juscelino Kubitschek,"-16.585566, -39.779941"
Heliópolis,2911857,324.0,256.9,341.3,5.06,Rua da Misericórdia,"-12.974331, -38.512191",Praça José Dantas,"-10.675248, -38.281486"
Iaçu,2911907,286.0,185.5,280.5,3.91,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Doutor Geraldo Mota,"-12.767314, -40.21063"
Ibiassucê,2912004,116.0,429.7,615.3,9.19,Rua da Misericórdia,"-12.974331, -38.512191",Rua Senador Antônio Fernandes,"-14.271363, -42.257929"
Ibicaraí,2912103,74.0,240.0,465.2,7.53,Rua da Misericórdia,"-12.974331, -38.512191",Ibicaraí,"-14.862335, -39.588961"
Ibicoara,2912202,195.0,304.1,548.1,7.54,Rua da Misericórdia,"-12.974331, -38.512191",Rua Demócrito Aguiar,"-13.413166, -41.285196"
Ibicuí,2912301,230.0,262.0,460.8,7.53,Rua da Misericórdia,"-12.974331, -38.512191",Rua Castro Alves,"-14.844915, -39.988051"
Ibipeba,2912400,96.0,407.6,521.8,7.97,Rua da Misericórdia,"-12.974331, -38.512191",Rua Aristides Almieda,"-11.642524, -42.008299"
Ibipitanga,2912509,230.0,431.0,589.5,8.11,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Cleriston Andrade,"-12.880562, -42.487743"
Ibiquera,2912608,414.0,265.0,377.0,4.94,Rua da Misericórdia,"-12.974331, -38.512191",Rua Alexandrino Vasconcelos,"-12.6509, -40.934061"
Ibirapitanga,2912707,344.0,161.3,346.5,5.49,Rua da Misericórdia,"-12.974331, -38.512191",Ibirapitanga,"-14.161382, -39.369396"
Ibirapuã,2912806,104.0,551.5,903.4,15.22,Rua da Misericórdia,"-12.974331, -38.512191",Praça Lourival Pereira Barros,"-17.688569, -40.109727"
Ibirataia,2912905,272.0,172.2,334.5,5.3,Rua da Misericórdia,"-12.974331, -38.512191",Travessa Miro Rio,"-14.068848, -39.639397"
Ibitiara,2913002,225.0,403.3,540.7,7.22,Rua da Misericórdia,"-12.974331, -38.512191",Rua Francisco Castorino de Abreu,"-12.649336, -42.216972"
Ibititá,2913101,144.0,408.6,510.5,7.8,Rua da Misericórdia,"-12.974331, -38.512191",Praça Municipal,"-11.546176, -41.977387"
Ibotirama,2913200,55.0,518.5,657.6,8.94,Rua da Misericórdia,"-12.974331, -38.512191",Avenida JK,"-12.185848, -43.221737"
Ichu,2913309,66.0,155.0,186.8,2.77,Rua da Misericórdia,"-12.974331, -38.512191",Praça da Matriz,"-11.748852, -39.192739"
Igaporã,2913408,104.0,463.3,682.5,10.25,Rua da Misericórdia,"-12.974331, -38.512191",Rua 7 de Setembro,"-13.771916, -42.715682"
Igrapiúna,2913457,286.0,116.4,292.6,4.6,Rua da Misericórdia,"-12.974331, -38.512191",Igrapiúna,"-13.822731, -39.142143"
Iguaí,2913507,362.0,261.0,445.4,7.3,Rua da Misericórdia,"-12.974331, -38.512191",Rua Ramiro Matos,"-14.752783, -40.089307"
Ilhéus,2913606,13.0,524.3,830.9,13.79,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Marechal Castelo Branco,"-17.538369, -39.738763"
Inhambupe,2913705,317.0,132.5,161.6,2.58,Rua da Misericórdia,"-12.974331, -38.512191",Inhambupe,"-11.791401, -38.360068"
Ipecaetá,2913804,368.0,113.1,171.5,2.38,Rua da Misericórdia,"-12.974331, -38.512191",Rua Evaristo Reis,"-12.315621, -39.306634"
Ipiaú,2913903,26.0,136.1,286.5,4.56,Rua da Misericórdia,"-12.974331, -38.512191",Rua Manoel Libanio da Silva,"-13.745402, -39.489277"
Ipirá,2914000,371.0,161.4,211.8,3.09,Rua da Misericórdia,"-12.974331, -38.512191",Rua Pergentino Dutra,"-12.158157, -39.741739"
Ipupiara,2914109,199.0,463.2,636.9,8.67,Rua da Misericórdia,"-12.974331, -38.512191",Rua Adão Francisco Martins,"-11.822375, -42.611112"
