municipio,codigo_ibge,idhm_2010,dist_km_geodesica_salvador,dist_km_rodoviaria_salvador,duracao_h_viagem,origem_endereco,origem_coords,destino_municipio_endereco,destino_municipio_coords
Milagres,2921302,83.0,146.7,241.4,3.32,Rua da Misericórdia,"-12.974331, -38.512191",Rua do Campo Velho,"-12.864665, -39.861065"
Mirangaba,2921401,391.0,317.6,372.0,5.46,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Joaquim de Carvalho,"-10.954178, -40.576461"
Mirante,2921450,406.0,371.9,682.5,11.5,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Cristal,"-16.281945, -39.024288"
Monte Santo,2921500,415.0,295.5,362.0,5.4,Rua da Misericórdia,"-12.974331, -38.512191",Praça Professor Salgado,"-10.4404, -39.331861"
Morpará,2921609,344.0,540.9,696.4,9.96,Rua da Misericórdia,"-12.974331, -38.512191",Morpará,"-11.562579, -43.276628"
Morro do Chapéu,2921708,210.0,328.1,396.0,5.99,Rua da Misericórdia,"-12.974331, -38.512191",Rua Coronel Dias Coelho,"-11.549997, -41.157333"
Mortugaba,2921807,90.0,474.3,702.5,10.87,Rua da Misericórdia,"-12.974331, -38.512191",Rua Israel Silva,"-15.023287, -42.368344"
Mucugê,2921906,131.0,309.7,470.1,6.27,Rua da Misericórdia,"-12.974331, -38.512191",Alto Boa Vista,"-13.005243, -41.370162"
Mucuri,2922003,33.0,578.4,928.4,15.38,Rua da Misericórdia,"-12.974331, -38.512191",Rua Canárias,"-18.080255, -39.545114"
Mulungu do Morro,2922052,312.0,357.7,505.4,6.69,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Antonio Carlos Magalhães,"-11.965219, -41.640875"
Mundo Novo,2922102,199.0,246.5,304.8,4.6,Rua da Misericórdia,"-12.974331, -38.512191",Praça Hermínio Ramos,"-11.856868, -40.473082"
Muniz Ferreira,2922201,92.0,64.8,197.0,3.05,Rua da Misericórdia,"-12.974331, -38.512191",Rua SIqueira Campos,"-13.000928, -39.109525"
Muquém do São Francisco,2922250,,556.1,716.6,9.77,Rua da Misericórdia,"-12.974331, -38.512191",Rua Alcantara Souza Maia,"-12.065214, -43.549979"
Muritiba,2922300,36.0,64.9,123.0,1.88,Rua da Misericórdia,"-12.974331, -38.512191",Rua Oito de Agosto,"-12.62475, -38.991137"
Mutuípe,2922409,147.0,110.9,235.7,3.66,Rua da Misericórdia,"-12.974331, -38.512191",Avenida 12 de Outubro,"-13.227475, -39.503182"
Nazaré,2922508,,29.1,191.5,2.94,Rua da Misericórdia,"-12.974331, -38.512191",Nazaré,"-12.872864, -38.760378"
Nilo Peçanha,2922607,375.0,94.7,265.0,4.15,Rua da Misericórdia,"-12.974331, -38.512191",Rua Nova da Baixa Fria,"-13.60096, -39.104025"
Nordestina,2922656,334.0,259.2,332.9,5.12,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Paulista,"-10.823456, -39.429901"
Nova Canaã,2922706,383.0,268.3,496.7,7.36,Rua da Misericórdia,"-12.974331, -38.512191",Rua Osvaldo Cruz,"-14.793793, -40.145396"
Nova Fátima,2922730,169.0,194.8,228.8,3.38,Rua da Misericórdia,"-12.974331, -38.512191",Nova Fátima,"-11.604535, -39.631005"
Nova Ibiá,2922755,301.0,152.1,305.8,4.88,Rua da Misericórdia,"-12.974331, -38.512191",Nova Ibiá,"-13.810401, -39.624947"
Nova Itarana,2922805,408.0,168.6,274.3,3.85,Rua da Misericórdia,"-12.974331, -38.512191",Rua Cruzeiro do Sul,"-13.027534, -40.067945"
Nova Redenção,2922854,308.0,278.2,416.0,5.48,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Joaquim de Souza,"-12.822221, -41.074122"
Nova Soure,2922904,353.0,192.8,232.9,3.71,Rua da Misericórdia,"-12.974331, -38.512191",Rua do Paraiso,"-11.240948, -38.477426"
Nova Viçosa,2923001,40.0,556.8,929.7,15.51,Rua da Misericórdia,"-12.974331, -38.512191",Nova Viçosa,"-17.910593, -39.385825"
Novo Horizonte,2923035,169.0,240.5,277.9,3.96,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Luis Eduardo Magalhães,"-11.378957, -40.006711"
Novo Triunfo,2923050,358.0,293.6,366.9,5.53,Rua da Misericórdia,"-12.974331, -38.512191",Praça Pedro Macário,"-10.334854, -38.420084"
Olindina,2923100,339.0,180.6,211.7,3.36,Rua da Misericórdia,"-12.974331, -38.512191",Rua Princesa Isabel,"-11.360159, -38.326936"
Oliveira dos Brejinhos,2923209,358.0,480.7,604.8,8.12,Rua da Misericórdia,"-12.974331, -38.512191",Avenida das Oliveiras,"-12.319422, -42.891418"
Ouriçangas,2923308,128.0,107.9,155.7,2.23,Rua da Misericórdia,"-12.974331, -38.512191",Ouriçangas,"-12.011002, -38.626086"
Ourolândia,2923357,334.0,357.5,409.9,6.08,Rua da Misericórdia,"-12.974331, -38.512191",Avenida José Ferreira Silva,"-10.968682, -41.080874"
Palmas de Monte Alto,2923407,220.0,522.7,719.3,10.92,Rua da Misericórdia,"-12.974331, -38.512191",Rua Góis Calmon,"-14.267306, -43.163033"
Palmeiras,2923506,,336.0,447.6,5.83,Rua da Misericórdia,"-12.974331, -38.512191",Praça Doutor José Gonçalves,"-12.515174, -41.574272"
Paramirim,2923605,100.0,406.7,658.1,9.57,Rua da Misericórdia,"-12.974331, -38.512191",Praça Santo Antônio,"-13.440964, -42.238764"
Paratinga,2923704,199.0,507.1,721.7,9.95,Rua da Misericórdia,"-12.974331, -38.512191",Paratinga,"-12.692426, -43.180958"
Paripiranga,2923803,266.0,264.5,353.2,5.04,Rua da Misericórdia,"-12.974331, -38.512191",Praça Doutor João Dantas de Carvalho,"-10.68167, -37.864717"
Pau Brasil,2923902,237.0,302.9,531.2,8.49,Rua da Misericórdia,"-12.974331, -38.512191",Praça Juracy Magalhães,"-15.464762, -39.651788"
Paulo Afonso,2924009,23.0,398.8,479.1,7.28,Rua da Misericórdia,"-12.974331, -38.512191",Paulo Afonso,"-9.398849, -38.226889"
Pé de Serra,2924058,215.0,174.0,221.0,3.31,Rua da Misericórdia,"-12.974331, -38.512191",Praça Vitor Carneiro,"-11.834596, -39.610647"
Pedrão,2924108,210.0,93.3,121.1,1.87,Rua da Misericórdia,"-12.974331, -38.512191",Rua 12 de Julho,"-12.144728, -38.646774"
Pedro Alexandre,2924207,412.0,336.2,447.0,6.67,Rua da Misericórdia,"-12.974331, -38.512191",Praça Coronel João Maria de Carvalho,"-10.012184, -37.894913"
Piatã,2924306,296.0,353.9,560.6,7.75,Rua da Misericórdia,"-12.974331, -38.512191",Rua Andreza Tatiléia Santana,"-13.153609, -41.774375"
Pilão Arcado,2924405,415.0,544.2,786.1,11.46,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Rodolfo de Queiroz Filho,"-10.00051, -42.47931"
Pindaí,2924504,140.0,481.2,680.0,10.67,Rua da Misericórdia,"-12.974331, -38.512191",Praça do Mercado,"-14.490724, -42.685275"
Pindobaçu,2924603,266.0,319.4,381.9,5.61,Rua da Misericórdia,"-12.974331, -38.512191",Praça Pedro Luis,"-10.743969, -40.361784"
Pintadas,2924652,114.0,199.1,259.0,3.83,Rua da Misericórdia,"-12.974331, -38.512191",Pintadas,"-11.813035, -39.907529"
Piraí do Norte,2924678,403.0,127.9,303.2,4.85,Rua da Misericórdia,"-12.974331, -38.512191",Travessa Ruy Barbosa,"-13.76134, -39.374142"
Piripá,2924702,278.0,409.0,637.9,9.66,Rua da Misericórdia,"-12.974331, -38.512191",Rua Pedro Moura,"-14.941771, -41.714929"
Piritiba,2924801,258.0,261.5,324.4,4.89,Rua da Misericórdia,"-12.974331, -38.512191",Rua Reverendo Josias Silva Primo,"-11.732048, -40.55623"
Planaltino,2924900,290.0,203.6,321.7,4.57,Rua da Misericórdia,"-12.974331, -38.512191",Planaltino,"-13.260686, -40.369629"
Planalto,2925006,334.0,283.6,471.4,7.0,Rua da Misericórdia,"-12.974331, -38.512191",Rua Antônio Alves Azevedo,"-14.668681, -40.475506"
Poções,2925105,138.0,264.5,451.6,6.66,Rua da Misericórdia,"-12.974331, -38.512191",Rua Cardeal da Silva,"-14.527329, -40.366863"
Pojuca,2925204,30.0,63.4,76.7,1.28,Rua da Misericórdia,"-12.974331, -38.512191",Praça Almirante Vasconcelos,"-12.432074, -38.33009"
Ponto Novo,2925253,251.0,36.4,50.6,0.82,Rua da Misericórdia,"-12.974331, -38.512191",Ponto Novo,"-12.705681, -38.320085"
Porto Seguro,2925303,20.0,390.7,707.0,12.0,Rua da Misericórdia,"-12.974331, -38.512191",Rua Frei Calixto,"-16.446904, -39.064372"
Potiraguá,2925402,74.0,326.2,573.6,9.14,Rua da Misericórdia,"-12.974331, -38.512191",Praça Rita Maria Alves,"-15.59416, -39.874563"
Prado,2925501,84.0,491.1,814.1,13.55,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Sergio Cameiro,"-17.335733, -39.230357"
Presidente Dutra,2925600,104.0,421.3,496.8,7.62,Rua da Misericórdia,"-12.974331, -38.512191",Presidente Dutra,"-11.295869, -41.987188"
Presidente Jânio Quadros,2925709,391.0,391.1,604.8,9.08,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Cuiabá,"-14.685764, -41.677142"
Presidente Tancredo Neves,2925758,339.0,111.8,247.6,3.88,Rua da Misericórdia,"-12.974331, -38.512191",Presidente Tancredo Neves,"-13.450903, -39.42192"
Queimadas,2925808,187.0,252.5,291.7,4.45,Rua da Misericórdia,"-12.974331, -38.512191",Rua Genesio Moreira,"-10.980773, -39.625"
Quijingue,2925907,385.0,258.3,340.6,5.05,Rua da Misericórdia,"-12.974331, -38.512191",Avenida São João,"-10.753424, -39.208096"
Quixabeira,2925931,258.0,247.1,296.0,4.27,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Gomes,"-11.410803, -40.128065"
Rafael Jambeiro,2925956,322.0,124.7,212.0,2.83,Rua da Misericórdia,"-12.974331, -38.512191",Praça Doutor Luis Eduardo Magalhães,"-12.405037, -39.503273"
Remanso,2926004,253.0,539.3,716.2,10.4,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Quinze de Novembro,"-9.618214, -42.082898"
Retirolândia,2926103,55.0,192.2,236.9,3.39,Rua da Misericórdia,"-12.974331, -38.512191",Retirolândia,"-11.493638, -39.424538"
Riachão das Neves,2926202,258.0,708.2,911.5,12.19,Rua da Misericórdia,"-12.974331, -38.512191",Avenida JK,"-11.748132, -44.910933"
Riachão do Jacuípe,2926301,69.0,160.5,193.6,2.81,Rua da Misericórdia,"-12.974331, -38.512191",Rua João Paulo II,"-11.806849, -39.381401"
Riacho de Santana,2926400,100.0,483.8,712.8,10.72,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Centenário,"-13.610049, -42.935857"
Ribeira do Amparo,2926509,413.0,215.3,262.9,4.28,Rua da Misericórdia,"-12.974331, -38.512191",Praça Irmã Mônica Maria Van Clooster,"-11.039374, -38.430386"
Ribeira do Pombal,2926608,147.0,236.7,300.2,4.45,Rua da Misericórdia,"-12.974331, -38.512191",Rua João de Deus Conceição Filho,"-10.84516, -38.541973"
Ribeirão do Largo,2926657,395.0,366.1,609.1,9.23,Rua da Misericórdia,"-12.974331, -38.512191",Ribeirão do Largo,"-15.45898, -40.741076"
Rio de Contas,2926707,134.0,363.2,593.3,8.58,Rua da Misericórdia,"-12.974331, -38.512191",Largo do Rosário,"-13.57837, -41.810873"
Rio do Antônio,2926806,272.0,416.7,602.8,9.01,Rua da Misericórdia,"-12.974331, -38.512191",Rua Ipê,"-14.406528, -42.076616"
Rio do Pires,2926905,177.0,409.6,606.2,8.71,Rua da Misericórdia,"-12.974331, -38.512191",Rua Manoel Cândido Pereira,"-13.125444, -42.290044"
Rio Real,2927002,290.0,177.0,207.3,3.26,Rua da Misericórdia,"-12.974331, -38.512191",Praça da Bandeira,"-11.48689, -37.931955"
Rodelas,2927101,62.0,459.6,544.6,8.1,Rua da Misericórdia,"-12.974331, -38.512191",Rua João Saturino de Resende,"-8.848693, -38.768346"
Ruy Barbosa,2927200,120.0,228.4,318.1,4.15,Rua da Misericórdia,"-12.974331, -38.512191",Ruy Barbosa,"-12.285778, -40.495841"
Salinas da Margarida,2927309,92.0,29.1,191.5,2.94,Rua da Misericórdia,"-12.974331, -38.512191",Salinas da Margarida,"-12.872864, -38.760378"
Salvador,2927408,1.0,0.0,0.0,0.0,Rua da Misericórdia,"-12.974331, -38.512191",Rua da Misericórdia,"-12.974331, -38.512191"
Santa Bárbara,2927507,237.0,124.0,150.5,2.07,Rua da Misericórdia,"-12.974331, -38.512191",Santa Bárbara,"-11.954272, -38.97325"
Santa Brígida,2927606,377.0,362.6,447.9,6.77,Rua da Misericórdia,"-12.974331, -38.512191",Rua Presidente Juscelino Kubitschek,"-9.735388, -38.129048"
Santa Cruz Cabrália,2927705,40.0,371.9,682.5,11.5,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Cristal,"-16.281945, -39.024288"
Santa Cruz da Vitória,2927804,120.0,261.8,497.4,7.99,Rua da Misericórdia,"-12.974331, -38.512191",Rua Eurico Dutra,"-14.962911, -39.810527"
Santa Inês,2927903,286.0,145.7,285.1,4.44,Rua da Misericórdia,"-12.974331, -38.512191",Rua Antero Duarte,"-13.289535, -39.818038"
Santa Luzia,2928059,351.0,287.0,523.6,8.32,Rua da Misericórdia,"-12.974331, -38.512191",Santa Luzia,"-15.429189, -39.333737"
Santa Maria da Vitória,2928109,104.0,616.5,878.0,12.19,Rua da Misericórdia,"-12.974331, -38.512191",Santa Maria da Vitória,"-13.384802, -44.190709"
Santa Rita de Cássia,2928406,134.0,689.3,1024.4,13.75,Rua da Misericórdia,"-12.974331, -38.512191",Santa Rita de Cássia,"-11.001303, -44.521216"
Santa Terezinha,2928505,,46.2,55.9,0.9,Rua da Misericórdia,"-12.974331, -38.512191",Travessa Raimundo Conceição Tabelião,"-12.607933, -38.310492"
Santaluz,2928000,165.0,213.4,251.3,3.84,Rua da Misericórdia,"-12.974331, -38.512191",Rua Rozendo Lopes,"-11.250533, -39.374674"
Santana,2928208,125.0,93.8,117.3,1.65,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Getúlio Vargas,"-12.255338, -38.965109"
Santanópolis,2928307,187.0,112.3,152.0,2.15,Rua da Misericórdia,"-12.974331, -38.512191",Rua Vítor Joaquim de Almeida,"-12.024389, -38.864875"
Santo Amaro,2928604,44.0,51.4,79.9,1.14,Rua da Misericórdia,"-12.974331, -38.512191",Rua Conselheiro Saraiva,"-12.551954, -38.70602"
Santo Antônio de Jesus,2928703,8.0,74.9,236.6,3.71,Rua da Misericórdia,"-12.974331, -38.512191",Travessa General Labaut,"-13.370687, -39.071586"
Santo Estêvão,2928802,73.0,100.5,156.8,2.11,Rua da Misericórdia,"-12.974331, -38.512191",Praça Sete de Setembro,"-12.429471, -39.251355"
São Desidério,2928901,253.0,704.7,891.5,11.94,Rua da Misericórdia,"-12.974331, -38.512191",Rua Silvio José de Santana,"-12.357197, -44.976822"
São Domingos,2928950,49.0,465.7,763.9,12.75,Rua da Misericórdia,"-12.974331, -38.512191",Praça da Independência,"-17.04335, -39.538111"
São Felipe,2929107,96.0,64.8,174.1,2.67,Rua da Misericórdia,"-12.974331, -38.512191",Rua José dos Reis Jaqueira,"-12.840761, -39.094187"
São Félix,2929008,50.0,367.6,538.4,7.94,Rua da Misericórdia,"-12.974331, -38.512191",Praça Coronel Zeca Leite,"-14.204177, -41.669761"
São Félix do Coribe,2929057,50.0,616.5,882.1,12.24,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Lessa,"-13.40408, -44.190139"
São Francisco do Conde,2929206,23.0,42.6,72.1,1.11,Rua da Misericórdia,"-12.974331, -38.512191",São Francisco do Conde,"-12.628039, -38.681169"
São Gabriel,2929255,187.0,414.1,488.0,7.48,Rua da Misericórdia,"-12.974331, -38.512191",Rua Valdemar Gama,"-11.228347, -41.876786"
São Gonçalo dos Campos,2929305,70.0,76.5,116.4,1.69,Rua da Misericórdia,"-12.974331, -38.512191",Rua da Estrada de Ferro,"-12.43396, -38.94839"
São José da Vitória,2929354,377.0,251.1,461.1,7.33,Rua da Misericórdia,"-12.974331, -38.512191",Rua Rui Barbosa,"-15.084477, -39.339726"
São José do Jacuípe,2929370,362.0,231.7,292.9,4.18,Rua da Misericórdia,"-12.974331, -38.512191",São José do Jacuípe,"-11.504234, -40.02424"
São Miguel das Matas,2929404,181.0,102.5,220.1,3.45,Rua da Misericórdia,"-12.974331, -38.512191",Praça Maria Madalena,"-13.047772, -39.455747"
São Sebastião do Passé,2929503,38.0,50.8,66.9,0.97,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Ernâni de Oliveira Rocha,"-12.517775, -38.491886"
Sapeaçu,2929602,104.0,77.8,152.0,2.36,Rua da Misericórdia,"-12.974331, -38.512191",Rua Milton Silva,"-12.729656, -39.185314"
Sátiro Dias,2929701,406.0,152.6,214.2,3.49,Rua da Misericórdia,"-12.974331, -38.512191",Sátiro Dias,"-11.603444, -38.581625"
Saubara,2929750,92.0,38.1,104.3,1.57,Rua da Misericórdia,"-12.974331, -38.512191",Saubara,"-12.736498, -38.766905"
Saúde,2929800,371.0,306.7,362.1,5.25,Rua da Misericórdia,"-12.974331, -38.512191",Rua Rui Barbosa,"-10.941537, -40.418851"
Seabra,2929909,57.0,358.7,466.5,6.08,Rua da Misericórdia,"-12.974331, -38.512191",Rua Horácio de Matos,"-12.418161, -41.769708"
Sebastião Laranjeiras,2930006,100.0,510.4,729.4,11.25,Rua da Misericórdia,"-12.974331, -38.512191",Rua Dois de Maio,"-14.570086, -42.943364"
Senhor do Bonfim,2930105,30.0,292.5,381.9,5.3,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Getúlio Vargas,"-10.694156, -39.852675"
Sento Sé,2930204,225.0,514.2,695.4,10.14,Rua da Misericórdia,"-12.974331, -38.512191",Sento Sé,"-9.73964, -41.883024"
Serra do Ramalho,2930154,176.0,551.6,839.3,11.77,Rua da Misericórdia,"-12.974331, -38.512191",Rua Rio de Janeiro,"-13.543859, -43.574857"
Serra Dourada,2930303,125.0,589.9,792.5,10.86,Rua da Misericórdia,"-12.974331, -38.512191",Rua Duque de Caxias,"-12.759068, -43.949916"
Serra Preta,2930402,312.0,126.7,171.2,2.47,Rua da Misericórdia,"-12.974331, -38.512191",Serra Preta,"-12.160818, -39.330417"
Serrinha,2930501,58.0,188.5,221.0,3.17,Rua da Misericórdia,"-12.974331, -38.512191",Rua José Pinheiro,"-11.337422, -38.963079"
Serrolândia,2930600,,259.8,317.7,4.68,Rua da Misericórdia,"-12.974331, -38.512191",Travessa Pedro Coleta de Matos,"-11.419975, -40.297268"
Simões Filho,2930709,22.0,24.1,29.6,0.47,Rua da Misericórdia,"-12.974331, -38.512191",Simões Filho,"-12.787626, -38.398918"
Sítio do Mato,2930758,322.0,537.1,791.4,11.18,Rua da Misericórdia,"-12.974331, -38.512191",Rua das Flores,"-13.084319, -43.468674"
Sítio do Quinto,2930766,403.0,291.8,372.5,5.62,Rua da Misericórdia,"-12.974331, -38.512191",AvenidaTingui,"-10.367923, -38.204047"
Sobradinho,2930774,66.0,462.9,552.6,7.89,Rua da Misericórdia,"-12.974331, -38.512191",Rua B,"-9.471393, -40.805825"
Souto Soares,2930808,187.0,354.3,490.2,6.45,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Prefeito José Sampaio,"-12.089888, -41.648524"
Tabocas do Brejo Velho,2930907,230.0,596.7,790.5,10.85,Rua da Misericórdia,"-12.974331, -38.512191",Tabocas do Brejo Velho,"-12.702046, -44.008794"
Tanhaçu,2931004,266.0,317.6,484.3,7.1,Rua da Misericórdia,"-12.974331, -38.512191",Praça Luís Eduardo Magalhães,"-14.02224, -41.244854"
Tanque Novo,2931053,155.0,434.7,685.9,9.99,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Prefeito Elson Neves de Oliveira,"-13.551017, -42.485103"
Tanquinho,2931103,169.0,128.5,157.4,2.23,Rua da Misericórdia,"-12.974331, -38.512191",Tanquinho,"-11.974706, -39.10559"
Taperoá,2931202,312.0,89.2,257.1,4.03,Rua da Misericórdia,"-12.974331, -38.512191",Rua Francisco Marquês Filho,"-13.537395, -39.098284"
Tapiramutá,2931301,177.0,278.1,354.5,5.39,Rua da Misericórdia,"-12.974331, -38.512191",Rua Paiaiá,"-11.844721, -40.796992"
Teixeira de Freitas,2931350,14.0,524.3,830.9,13.79,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Marechal Castelo Branco,"-17.538369, -39.738763"
Teodoro Sampaio,2931400,177.0,75.7,97.2,1.4,Rua da Misericórdia,"-12.974331, -38.512191",Teodoro Sampaio,"-12.30555, -38.640888"
Teofilândia,2931509,312.0,173.4,203.6,2.9,Rua da Misericórdia,"-12.974331, -38.512191",Rua Antônio Oliveira,"-11.489064, -38.999963"
Teolândia,2931608,353.0,127.1,268.6,4.24,Rua da Misericórdia,"-12.974331, -38.512191",Rua Lomanto Junior,"-13.603431, -39.492632"
Terra Nova,2931707,258.0,64.0,83.2,1.18,Rua da Misericórdia,"-12.974331, -38.512191",Terra Nova,"-12.408828, -38.622822"
Tremedal,2931806,405.0,384.0,600.5,9.08,Rua da Misericórdia,"-12.974331, -38.512191",Tremedal,"-14.977123, -41.411214"
Tucano,2931905,253.0,225.5,267.6,3.91,Rua da Misericórdia,"-12.974331, -38.512191",Praça Doutor Osvaldo Assunção,"-10.963452, -38.785961"
Uauá,2932002,134.0,363.8,427.9,6.12,Rua da Misericórdia,"-12.974331, -38.512191",Praça Belarmino José Rodrigues,"-9.843534, -39.483024"
Ubaíra,2932101,241.0,128.5,259.2,4.03,Rua da Misericórdia,"-12.974331, -38.512191",Ubaíra,"-13.261354, -39.661079"
Ubaitaba,2932200,116.0,172.6,364.2,5.78,Rua da Misericórdia,"-12.974331, -38.512191",Rua Juca Magalhães,"-14.311395, -39.322704"
Ubatã,2932309,181.0,175.8,369.6,5.86,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Landulfo Alves,"-14.211798, -39.52442"
Uibaí,2932408,92.0,433.7,513.5,7.93,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Pedro Joaquim Machado,"-11.339287, -42.134607"
Umburanas,2932457,411.0,394.7,446.9,6.76,Rua da Misericórdia,"-12.974331, -38.512191",Rua Liborino LOpes de Almeida,"-10.728739, -41.322062"
Una,2932507,334.0,265.0,484.7,7.69,Rua da Misericórdia,"-12.974331, -38.512191",Praça Doutor Manoel Pereira de Andrade,"-15.293947, -39.074186"
Urandi,2932606,165.0,489.6,693.7,10.83,Rua da Misericórdia,"-12.974331, -38.512191",Rua Santos Dumont,"-14.768794, -42.654484"
Uruçuca,2932705,96.0,198.3,400.8,6.36,Rua da Misericórdia,"-12.974331, -38.512191",Uruçuca,"-14.591192, -39.286178"
Utinga,2932804,199.0,297.1,424.0,5.52,Rua da Misericórdia,"-12.974331, -38.512191",Rua Leonor Belas,"-12.07818, -41.091008"
Valença,2932903,80.0,74.9,236.6,3.71,Rua da Misericórdia,"-12.974331, -38.512191",Travessa General Labaut,"-13.370687, -39.071586"
Valente,2933000,52.0,202.3,246.9,3.55,Rua da Misericórdia,"-12.974331, -38.512191",Rua Vicente Feliciano,"-11.409969, -39.464082"
Várzea da Roça,2933059,398.0,233.0,311.9,4.48,Rua da Misericórdia,"-12.974331, -38.512191",Praça da Bandeira,"-11.608199, -40.137971"
Várzea do Poço,2933109,278.0,253.7,330.0,4.92,Rua da Misericórdia,"-12.974331, -38.512191",Rua Nabor Lima Rios,"-11.528165, -40.318949"
Várzea Nova,2933158,353.0,326.5,403.5,6.05,Rua da Misericórdia,"-12.974331, -38.512191",Rua Messias Farias Soares,"-11.25299, -40.94592"
Varzedo,2933174,220.0,95.6,200.0,3.12,Rua da Misericórdia,"-12.974331, -38.512191",Varzedo,"-12.974486, -39.394587"
Vera Cruz,2933208,45.0,10.4,24.9,1.06,Rua da Misericórdia,"-12.974331, -38.512191",Rua São Bento,"-12.963653, -38.608153"
Vereda,2933257,266.0,501.5,858.3,14.46,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Deputado Eujácio Simões,"-17.221522, -40.084742"
Vitória da Conquista,2933307,16.0,326.3,516.2,7.72,Rua da Misericórdia,"-12.974331, -38.512191",Rua Coronel Gugé,"-14.849934, -40.83698"
Wagner,2933406,215.0,298.3,399.3,5.13,Rua da Misericórdia,"-12.974331, -38.512191",Rua Antônio Jardim,"-12.281691, -41.168643"
Wanderley,2933455,151.0,591.4,746.4,10.51,Rua da Misericórdia,"-12.974331, -38.512191",Wanderley,"-12.120768, -43.890663"
Wenceslau Guimarães,2933505,385.0,131.2,279.2,4.42,Rua da Misericórdia,"-12.974331, -38.512191",Rua Antônio Jenkins,"-13.686324, -39.479052"
Xique-Xique,2933604,225.0,611.3,767.4,11.78,Rua da Misericórdia,"-12.974331, -38.512191",Avenida Prefeito Arival Viana,"-10.71413, -43.633682"
